id	source_id	topic_id	views	forum
0	1	6	644	m2m
1	1	6	1013	m2m
2	1	6	185	m2m
3	1	6	172	m2m
4	1	6	1246	m2m
5	1	6	668	m2m
6	1	6	3331	m2m
7	1	6	928	m2m
8	1	6	929	m2m
9	1	6	3390	m2m
10	1	6	2529	m2m
11	1	6	1327	m2m
12	1	6	1167	m2m
13	1	6	16649	m2m
14	1	7	888	m2m
15	1	7	328	m2m
16	1	7	2612	m2m
17	1	7	360	m2m
18	1	7	536	m2m
19	1	7	10758	m2m
20	1	7	490	m2m
21	1	7	1238	m2m
22	1	7	907	m2m
23	1	7	1198	m2m
24	1	7	1775	m2m
25	1	7	1874	m2m
26	1	7	1811	m2m
27	1	8	732	m2m
28	1	8	3529	m2m
29	1	8	1733	m2m
30	1	8	1903	m2m
31	1	8	2830	m2m
32	1	8	1573	m2m
33	1	8	1714	m2m
34	1	8	12459	m2m
35	1	8	3298	m2m
36	1	8	10598	m2m
37	1	8	7068	m2m
38	1	8	3614	m2m
39	1	8	12284	m2m
40	1	9	4406	m2m
41	1	9	3350	m2m
42	1	9	3967	m2m
43	1	9	5014	m2m
44	1	9	2564	m2m
45	1	9	3899	m2m
46	1	9	2727	m2m
47	1	10	558	m2m
48	1	10	1282	m2m
49	1	10	568	m2m
50	1	10	2113	m2m
51	1	10	925	m2m
52	1	10	1093	m2m
53	1	10	876	m2m
54	1	10	4250	m2m
55	1	10	9074	m2m
56	1	10	1558	m2m
57	1	10	1544	m2m
58	1	10	2920	m2m
59	1	10	3190	m2m
60	1	10	1877	m2m
61	1	10	1614	m2m
62	1	11	2939	m2m
63	1	11	4279	m2m
64	1	11	3090	m2m
65	1	11	3405	m2m
66	1	11	3338	m2m
67	1	11	2735	m2m
68	1	11	2616	m2m
69	1	11	2873	m2m
70	1	11	2396	m2m
71	1	11	2810	m2m
72	1	11	2436	m2m
73	1	11	2350	m2m
74	1	11	2722	m2m
75	1	13	3106	m2m
76	1	13	2903	m2m
77	1	13	2165	m2m
78	1	13	1530	m2m
79	1	13	1385	m2m
80	1	13	1683	m2m
81	1	13	3990	m2m
82	1	13	2218	m2m
83	1	13	2725	m2m
84	1	13	7089	m2m
85	1	13	1944	m2m
86	1	13	2108	m2m
87	1	13	2383	m2m
88	1	13	5822	m2m
89	1	13	10100	m2m
90	1	14	3222	m2m
91	1	14	151	m2m
92	1	14	107	m2m
93	1	14	253	m2m
94	1	14	433	m2m
95	1	14	77	m2m
96	1	14	306	m2m
97	1	14	204	m2m
98	1	14	655	m2m
99	1	14	241	m2m
100	1	14	243	m2m
101	1	14	450	m2m
102	1	14	642	m2m
103	1	14	434	m2m
104	1	14	340	m2m
105	1	15	2782	m2m
106	1	15	17108	m2m
107	1	15	746	m2m
108	1	15	828	m2m
109	1	15	1677	m2m
110	1	15	545	m2m
111	1	15	2113	m2m
112	1	15	1446	m2m
113	1	15	718	m2m
114	1	15	939	m2m
115	1	15	814	m2m
116	1	15	1852	m2m
117	1	15	1132	m2m
118	1	15	1337	m2m
119	1	15	1000	m2m
120	1	16	8861	m2m
121	1	16	605	m2m
122	1	16	1505	m2m
123	1	16	16167	m2m
124	1	16	935	m2m
125	1	16	1401	m2m
126	1	16	1646	m2m
127	1	16	691	m2m
128	1	16	2728	m2m
129	1	16	13153	m2m
130	1	16	1516	m2m
131	1	17	1368	m2m
132	1	17	11863	m2m
133	1	17	1150	m2m
134	1	17	1682	m2m
135	1	17	1357	m2m
136	1	17	2008	m2m
137	1	17	1813	m2m
138	1	17	2468	m2m
139	1	17	1542	m2m
140	1	17	3589	m2m
141	1	17	3057	m2m
142	1	17	15565	m2m
143	1	17	3010	m2m
144	1	17	5821	m2m
145	1	17	3009	m2m
146	1	18	6198	m2m
147	1	18	1334	m2m
148	1	18	1109	m2m
149	1	18	1699	m2m
150	1	18	1264	m2m
151	1	18	1492	m2m
152	1	18	1783	m2m
153	1	18	1367	m2m
154	1	18	1642	m2m
155	1	18	2869	m2m
156	1	18	1449	m2m
157	1	18	4196	m2m
158	1	18	1980	m2m
159	1	18	4613	m2m
160	1	18	1926	m2m
161	1	19	1734	m2m
162	1	19	3772	m2m
163	1	19	1628	m2m
164	1	19	526	m2m
165	1	19	393	m2m
166	1	19	583	m2m
167	1	19	1120	m2m
168	1	19	885	m2m
169	1	19	3886	m2m
170	1	19	1228	m2m
171	1	19	1117	m2m
172	1	19	1414	m2m
173	1	19	1196	m2m
174	1	19	1211	m2m
175	1	19	1424	m2m
176	1	20	446	m2m
177	1	20	259	m2m
178	1	20	4439	m2m
179	1	20	1766	m2m
180	1	20	3230	m2m
181	1	20	2891	m2m
182	1	20	2191	m2m
183	1	20	3834	m2m
184	1	20	7364	m2m
185	1	20	3235	m2m
186	1	20	3475	m2m
187	1	20	6852	m2m
188	1	20	8772	m2m
189	1	20	9795	m2m
190	1	21	469	m2m
191	1	21	4460	m2m
192	1	21	2736	m2m
193	1	21	4502	m2m
194	1	21	7340	m2m
195	1	21	12716	m2m
196	1	21	5903	m2m
197	1	21	3508	m2m
198	1	21	2800	m2m
199	1	21	2885	m2m
200	1	21	3568	m2m
201	1	21	3358	m2m
202	1	21	5045	m2m
203	1	21	4079	m2m
204	1	22	421	m2m
205	1	22	67196	m2m
206	1	22	1312	m2m
207	1	22	1255	m2m
208	1	22	1282	m2m
209	1	22	1858	m2m
210	1	22	2451	m2m
211	1	22	4229	m2m
212	1	22	4934	m2m
213	1	22	4501	m2m
214	1	22	5430	m2m
215	1	22	12956	m2m
216	1	22	2232	m2m
217	1	22	3262	m2m
218	1	22	5873	m2m
219	1	23	389	m2m
220	1	23	11367	m2m
221	1	23	390	m2m
222	1	23	3759	m2m
223	1	23	1405	m2m
224	1	23	2460	m2m
225	1	23	2505	m2m
226	1	23	2708	m2m
227	1	23	6363	m2m
228	1	23	4285	m2m
229	1	23	3183	m2m
230	1	23	4154	m2m
231	1	23	3488	m2m
232	1	23	3825	m2m
233	1	24	574	m2m
234	1	24	1571	m2m
235	1	24	5289	m2m
236	1	24	3361	m2m
237	1	24	2888	m2m
238	1	24	5878	m2m
239	1	24	3967	m2m
240	1	24	4316	m2m
241	1	24	1743	m2m
242	1	24	3457	m2m
243	1	24	5001	m2m
244	1	24	3556	m2m
245	1	24	2590	m2m
246	1	24	2459	m2m
247	1	25	1811	m2m
248	1	25	3663	m2m
249	1	25	1464	m2m
250	1	25	1547	m2m
251	1	25	1596	m2m
252	1	25	1619	m2m
253	1	25	3505	m2m
254	1	25	2801	m2m
255	1	25	3803	m2m
256	1	25	2011	m2m
257	1	25	7024	m2m
258	1	25	2562	m2m
259	1	25	2574	m2m
260	1	25	3375	m2m
261	1	25	2691	m2m
262	1	26	1367	m2m
263	1	26	1040	m2m
264	1	26	955	m2m
265	1	26	2309	m2m
266	1	26	1346	m2m
267	1	26	1562	m2m
268	1	26	3684	m2m
269	1	26	1711	m2m
270	1	26	2486	m2m
271	1	26	1783	m2m
272	1	26	2099	m2m
273	1	26	2714	m2m
274	1	26	5102	m2m
275	1	27	206	m2m
276	1	27	6336	m2m
277	1	27	3079	m2m
