id	blog_id	source_id	body	user_name	last_updated
0	18	2	Very good point of view. But who is the pharmacist that have time to help? May I suggest that the patient himself read the instructions and ask his doctor about the interaction of the drug. If the doctor isn’t interested in helping him he should choose another one. Fair?	Dr. med. Safwat Alani	2018-01-17 00:00:00
1	22	2	Thanks for this article. Outside of the 3rd world, halothane hasn't been in common use for about 20 years.	Richard Frazer	2017-09-21 00:00:00
2	30	2	"histoire bien mise en évidence sur les rapports entre la personne malade et les personnes qui s'en occupent .L'essentiel , ce n'est pas nécessairement la guérison du cancer mais l""accompagnement de cette personne . Elle est passée à une étape de résilience ."	infirmière AI Catherine Steenhout	2017-11-11 00:00:00
3	30	2	"Really a story so well observed and described!
Been a nurse on oncology-ward for some years myself and do very much appreciate the way you put all those emotions in such wonderful words."	Moritz Dieckmann	2017-09-19 00:00:00
4	41	2	A moving report on an interpersonal peak experience: great!	Dr. Luc Roelens	2017-10-10 00:00:00
5	42	2	Very moving. Speaks to many of us.		2017-10-04 00:00:00
6	55	2	This is so (painfully) funny ... I am a pediatrician, and I get curbsided with questions about other subspecialties related to adults in kids meets !	Mr. Gaurav Gupta	2016-12-13 00:00:00
7	63	2	well , it seems like you know something about heart ...i wish medical stuff will adupt your precise words. thank you !	dr. nd Shimeon zadok Cohen	2016-08-30 00:00:00
8	63	2	Beside being cardiologist you are very good whriter	Dr. Ahmedou Neda	2016-08-30 00:00:00
9	69	2	Congratulations on successfully integrating music back into your life! As a fellow amateur musician, I know that it can make the heart sing. I hope that you are also able to take care of your physical self with optimum nutrition, regular exercise, and adequate sleep -- and can bring that to your practice. Medical training sounds like a long ordeal for body and spirit.		2016-03-29 00:00:00
10	87	2	"Hi,  I have a question. I have epilepsy. When my insurance increased the deductible for my brand name medicine, I had to switch to generic. Teva generic worked in controlling my seizures. The pharmacy switched to a cheaper generic that didn't control them. I had driving privileges by my physician, but after switching generic brand I had a car wreck. The wreck injured my daughter. Can you please help proving the difference between generic and brand name epilepsy medicine. The FDA needs to understand.
Thank you sincerely, Roxanne"		2015-09-16 00:00:00
11	90	2	Thank you very much. I wish you all the best.		2015-03-05 00:00:00
