question_id	answer_id	comment	time_stamp	username
15453	15455	No nutrition analysis.  No specific cost analysis.	2018-02-28 23:39:15Z	Paparazzi
15453	15455	It doesn't need a cost analysis. As you've shown, if you don't buy eggs, yogurt, and perishable veggies like peppers, you can eat for under $5 a day.  Whether it's $4.57 or $3.93 really isn't relevant.	2018-02-28 23:55:20Z	Kate Gregory
15453	15455	One thing that puzzles me a bit: why the emphasis on the fridge? Cheese is a way to make milk kep for very long, well most types are, Shopping evey day on the way home or 2–3 times a week is also excluded? Food desert presumed? Buy raw & stay cheap., OK. But where are the potatoes? – That budget calculation: how can that include any supplements? Those are usually quite over the top in price and are a sign of bad diet, if they are "necessary".	2018-03-01 00:34:30Z	LangLangC
15453	15455	@KateGregory Yes I have shown price not you and it posted after this answer.  You have not shown a healthy diet for less than $5 a day. Again no  specific nutritional analysis.	2018-03-01 00:55:06Z	Paparazzi
15453	15455	Hm. Comments are meant to improve the post, not attack each other. – I do read: "and again you won't eat anywhere near a pound of dried beans per serving". – Limiting protein for whatever reason, to "80g" is only reasonable for quite slim and short, or ill, persons. If I'm mistaken on that, a reference might convince me otherwise.	2018-03-01 01:17:48Z	LangLangC
15453	15471	without refrigeration, where is the egg kept? OK, some Europeans keep eggs on the counter, but the yogurt? Also, this is a really strange "meal" -- I can't see how the ingredients add up to a single dish (eg salad, stew) or even two or three such dishes.	2018-02-28 23:32:39Z	Kate Gregory
15453	15471	@KateGregory An egg will keep days.  You can eat yogurt the day you shop.  OP did not ask for preparation or meal.   This is simply an analysis of getting to nutritional numbers with cost -  something your answer does not provide.  Where is any meal or nutrition in your answer?  Where is any actual cost analysis in your answer?	2018-02-28 23:38:35Z	Paparazzi
15453	15471	+ for you: An egg can be kept for 2–3 weeks, longer if in the fridge. Bulk pricing doesn't exclude shopping locally every day. We do not know where and when this diet is to be employed, how long a yoghurt keeps is also a few days if Northern hemisphere right now: longer. – The neg: the preparation has to be considered. Dishes seem indeed quite… "fashionable?" Of course you can survive on your list, eating that stuff in separation, for a while. Where are the potatoes, vitamins, minerals in this? I guess this list is too low on fat, despite suggesting 2 oz of olive oil! (How to get that down?)	2018-03-01 00:27:10Z	LangLangC
15453	15471	"For an active lifestyle" and significantly less than 2000 kcal will result in quite a slender and frustrated person.	2018-03-01 00:28:49Z	LangLangC
15453	15471	My suggestion was not "it's wrong", solely to maybe include vitamins and minerals into your analysis. That analysis is the strong point of your A. Currently (I estimate only) your list falls a bit on the short for my taste on methionie, protein in general, kcals, D, and Ca (I really haven't calc'd it).  & for my genetics, build and lifestyle: not enough. – Qs can be less than ideal. If an A hilites shortcomings, why not? We are coctivores. Given your list I just wonder how to down 2oz of oil? The rest I would eat raw and isolated without hesitation. (In fact, I believe I did for a time ;) )	2018-03-01 02:08:38Z	LangLangC
