question_id	question_url	question_title	question_body	time_stamp	username	votes	favorites	tags
15474	https://health.stackexchange.com/questions/15474/where-to-find-data-on-age-distributed-exercise-frequency	Where to find data on age-distributed exercise frequency?	I am now looking for some data on exercise frequency, only the strenuous/aerobic ones, and apparently it is quite hard to find data across different age groups. Hence I wonder whether there is some good sources from online medical libraries.-	2018-03-01 07:22:06Z	伍柒貳	0	0	exercise, data, physical-health, healthcare-data, health-policy
15473	https://health.stackexchange.com/questions/15473/can-diabetes-relieve-symptoms-of-hemophilia	Can diabetes relieve symptoms of hemophilia?	This question can be seen silly, but I wondered about this question for several years. I learned that diabetes make our blood so sticky that it can block blood flows of capillary vessels. Then, what happens if a hemobohilia patient with diabetes accidently cut his (because there are few female hemophilia patients) toe's skin with a cutter,  paper or glass fragment? Does the sticky blood caused by diabetes help stopping bleeding the area?  Yeah, I know that blood coagulation factors like pibrin are the primary factors for stopping bleeding, but I want to know the effects of sticky blood caused by diabetes on cut area. P.S. Sorry for poor English.-	2018-03-01 02:40:50Z	KYHSGeekCode	0	0	diabetes
15470	https://health.stackexchange.com/questions/15470/quick-question-on-disenfectants-sprays-and-how-some-family-members-are-using-it	Quick question on disenfectants sprays and how some family members are using it	Some of my family members seem to be using Lysol surface disinfectant spray to mask bad odor in the bathroom. I keep trying to explain to them that it's not meant to be used in such a way. They seem to be a firm believer that because it says "removes odor" on it it means it   mask odors in the air the same way as actuall air freshener. Every time they spray ALOT. Enough to make me start coughing in a vented room. Anyone have any negative medical health hazard facts I should tell them to make them stop? -	2018-02-28 20:54:22Z	user13086	0	0	side-effects
15469	https://health.stackexchange.com/questions/15469/how-do-the-different-swimming-styles-affect-scoliosis-and-kyphosis	How do the different swimming styles affect scoliosis and kyphosis	I have a slight scoliosis and kyphosis.  I want to know how do the different swimming styles affect both scoliosis and kyphosis? I hear and read controversial opinions about it. It is important to mention that I don't consider competitively. -	2018-02-28 19:59:35Z	Veliko	0	0	swimming, scoliosis
15461	https://health.stackexchange.com/questions/15461/how-do-you-deal-with-oral-hpv-11	How do you deal with oral HPV 11? [on hold]	I got contacted oral HPV 11 and genital HPV 6/11. I'm more concerned about oral as it seem more severe.  I got pumps on the lips, tiny ones, and some small cluster of pumps. white color. Did anyone got experience getting rid of it? -	2018-02-28 06:30:20Z	many may	0	0	dermatology
15457	https://health.stackexchange.com/questions/15457/is-it-dangerous-for-an-old-person-to-take-pneumococcal-vaccine-for-pneumonia-t	Is it dangerous for an old person to take pneumococcal vaccine (for pneumonia) twice within 2 years?	I have an old relative in her 70s who took some vaccination jabs 2 years ago. She has no idea what jab it was due to her aging mind. I intend to bring her to take pneumococcal vaccine to protect against pneumonia but I do not know if she took the same vaccine 2 years ago. Is it dangerous for an old lady to take pneumococcal vaccine twice within 2 years? Any over-dosage hazard to be mindful of?-	2018-02-28 00:54:40Z	user781486	1	0	vaccination, pneumonia
15454	https://health.stackexchange.com/questions/15454/pills-in-cold-car-overnight-still-okay	Pills in cold car overnight - still okay?	I accidentally left my depression/anxiety medication in the car overnight. The coldest it got was -6 with a wind chill of -12 (Celsius). The medication in question are tablets, not liquid or gel capsules. There is no condensation on the bottle, or anything as such amiss that I can see inside the bottle or on the pills themselves. Everything look normal. Would they still be okay to take?-	2018-02-27 20:59:42Z	Gypsy	1	0	medications, pill
15453	https://health.stackexchange.com/questions/15453/construction-of-an-extremely-cheap-and-healthful-diet	Construction of an extremely cheap and healthful diet	I'm aware that this is a borderline question for this site, but I think it could be useful to a broad audience. My goal is to find a diet(meaning a list of exact raw materials, not preparation instructions) that meets all nutritional needs(for a highly active lifestyle), and can be acquired for less than $10 a day in the U.S. (bulk pricing can be used). All I would have access to is a stove and a pan. No refrigeration. I googled looking for this, but I didn't find anything that looked reliable, and my limited knowledge of human nutrition prevents me from finding a good answer myself. Ideally any answers should be community wiki posts.-	2018-02-27 17:31:03Z	Aperson123	3	0	nutrition
15452	https://health.stackexchange.com/questions/15452/meatus-acusticus-externus	Meatus acusticus externus	I have a question referring to the external auditory canal. Is the convex bending of the auditory canal usually strong enough, that any object (like a water jet or something) can not directly hit the eardrum?-	2018-02-27 17:18:26Z	J. Scott	0	0	ear, anatomy, audiology, eardrum
15451	https://health.stackexchange.com/questions/15451/why-does-yawning-sometimes-cause-intense-pain-at-the-base-of-my-neck	Why does yawning sometimes cause intense pain at the base of my neck? [on hold]	My research into this has been inconclusive. Many links lead to questions about acute, new situations, which doesn't apply to me. I've noticed this happening randomly throughout my entire life. Other links list anything from lymph node problems, to muscle strains, to tumors. Again, nothing that applies to a lifelong sporadic pain.  The pain in question exists at the base of the neck on either the right or left, in the collar bone area. I think I've noticed it more when yawning at weird angles. Yawning when my head is turned far to one side, or yawning when I'm hunched down, etc.  It feels like a spasm of sorts. It lasts a good 1.5 seconds after the yawn was complete.-	2018-02-27 15:49:11Z	WakeDemons3	0	0	pain, yawning-yawn
